year,avg_temp
1843,25.16
1844,19.05
1845,22.46
1846,
1847,
1848,
1849,
1850,
1851,
1852,
1853,
1854,
1855,
1856,
1857,
1858,
1859,
1860,
1861,23.98
1862,24.13
1863,22.87
1864,25.43
1865,25.60
1866,25.42
1867,25.62
1868,25.30
1869,25.65
1870,25.35
1871,24.97
1872,25.20
1873,25.57
1874,25.32
1875,24.53
1876,25.13
1877,25.81
1878,25.94
1879,25.57
1880,25.42
1881,26.06
1882,25.09
1883,25.36
1884,25.03
1885,25.33
1886,25.13
1887,25.08
1888,25.21
1889,25.88
1890,25.79
1891,25.88
1892,25.39
1893,25.42
1894,25.00
1895,24.96
1896,25.24
1897,25.27
1898,25.59
1899,25.57
1900,25.50
1901,25.79
1902,25.42
1903,25.03
1904,25.40
1905,25.12
1906,25.26
1907,24.98
1908,25.23
1909,25.95
1910,25.18
1911,24.85
1912,25.05
1913,24.75
1914,25.38
1915,25.88
1916,25.36
1917,25.27
1918,25.25
1919,26.01
1920,25.17
1921,25.17
1922,25.66
1923,25.51
1924,25.96
1925,25.51
1926,25.53
1927,25.82
1928,26.05
1929,25.92
1930,25.76
1931,25.90
1932,25.45
1933,25.21
1934,25.53
1935,25.90
1936,25.75
1937,25.61
1938,25.31
1939,25.72
1940,25.92
1941,26.00
1942,26.07
1943,25.21
1944,25.85
1945,25.69
1946,25.65
1947,26.13
1948,25.11
1949,25.11
1950,25.89
1951,25.96
1952,26.31
1953,26.15
1954,26.16
1955,25.65
1956,25.66
1957,25.51
1958,26.29
1959,25.26
1960,26.33
1961,25.87
1962,26.11
1963,26.10
1964,25.44
1965,25.76
1966,26.19
1967,25.33
1968,25.26
1969,26.09
1970,25.92
1971,24.96
1972,25.53
1973,25.98
1974,25.47
1975,25.34
1976,25.56
1977,26.11
1978,26.12
1979,26.55
1980,26.32
1981,26.19
1982,25.04
1983,25.40
1984,25.19
1985,25.36
1986,25.64
1987,26.35
1988,26.34
1989,25.47
1990,25.86
1991,25.94
1992,24.74
1993,25.90
1994,26.26
1995,26.33
1996,26.37
1997,25.88
1998,26.48
1999,26.75
2000,26.62
2001,26.60
2002,26.63
2003,26.87
2004,26.53
2005,26.47
2006,26.42
2007,26.58
2008,26.64
2009,26.90
2010,27.30
2011,26.57
2012,27.02
2013,27.57
